cell	cell_label	relation	relation_label	sense	asserted	pr	pr_label	cd_synonym	uniprot_human	uniprot_mouse	xrefs
CL:0000037	hematopoietic stem cell	CL:4030046	lacks_plasma_membrane_part	negative	no	PR:000000001	protein				
CL:0000037	hematopoietic stem cell	CL:4030046	lacks_plasma_membrane_part	negative	yes	PR:000001002	CD19 molecule		UniProtKB:P15391	UniProtKB:P25918	IUPHARobj:2764; PIRSF:PIRSF016630
CL:0000037	hematopoietic stem cell	CL:4030046	lacks_plasma_membrane_part	negative	yes	PR:000001004	CD4 molecule		UniProtKB:P01730	UniProtKB:P06332	PIRSF:PIRSF001977
CL:0000037	hematopoietic stem cell	CL:4030046	lacks_plasma_membrane_part	negative	no	PR:000001005					
CL:0000037	hematopoietic stem cell	CL:4030046	lacks_plasma_membrane_part	negative	yes	PR:000001012	integrin alpha-M	CD11B; CR3A	UniProtKB:P11215	UniProtKB:P05555	IUPHARobj:2452
CL:0000037	hematopoietic stem cell	CL:4030046	lacks_plasma_membrane_part	negative	no	PR:000001018					
CL:0000037	hematopoietic stem cell	CL:4030046	lacks_plasma_membrane_part	negative	yes	PR:000001020	CD3 epsilon	T3E	UniProtKB:P07766	UniProtKB:P22646	IUPHARobj:2742
CL:0000037	hematopoietic stem cell	CL:4030046	lacks_plasma_membrane_part	negative	no	PR:000001022					
CL:0000037	hematopoietic stem cell	CL:4030046	lacks_plasma_membrane_part	negative	no	PR:000001023					
CL:0000037	hematopoietic stem cell	CL:4030046	lacks_plasma_membrane_part	negative	yes	PR:000001024	neural cell adhesion molecule 1	NCAM	UniProtKB:P13591	UniProtKB:P13595	IUPHARobj:2769
CL:0000037	hematopoietic stem cell	CL:4030046	lacks_plasma_membrane_part	negative	yes	PR:000001083	CD2 molecule	SRBC	UniProtKB:P06729	UniProtKB:P08920	IUPHARobj:2600; PIRSF:PIRSF001984
CL:0000037	hematopoietic stem cell	CL:4030046	lacks_plasma_membrane_part	negative	yes	PR:000001084	T-cell surface glycoprotein CD8 alpha chain	MAL; Lyt-2; Lyt2	UniProtKB:P01732	UniProtKB:P01731	
CL:0000037	hematopoietic stem cell	CL:4030046	lacks_plasma_membrane_part	negative	yes	PR:000001289	membrane-spanning 4-domains subfamily A member 1	CD20; Ly-44; Ms4a2	UniProtKB:P11836	UniProtKB:P19437	IUPHARobj:2628; PIRSF:PIRSF001995
CL:0000037	hematopoietic stem cell	CL:4030046	lacks_plasma_membrane_part	negative	yes	PR:000001839	T-cell surface glycoprotein CD5	LEU1	UniProtKB:P06127	UniProtKB:P13379	
CL:0000037	hematopoietic stem cell	CL:4030046	lacks_plasma_membrane_part	negative	yes	PR:000001889	CD14 molecule		UniProtKB:P08571	UniProtKB:P10810	PIRSF:PIRSF002017
CL:0000037	hematopoietic stem cell	CL:4030046	lacks_plasma_membrane_part	negative	no	PR:000002976					
CL:0000037	hematopoietic stem cell	CL:4030046	lacks_plasma_membrane_part	negative	yes	PR:000002978	lymphocyte antigen 6G			UniProtKB:P35461	
CL:0000037	hematopoietic stem cell	CL:4030046	lacks_plasma_membrane_part	negative	yes	PR:000002981	lymphocyte antigen 76 (mouse)				
CL:0000037	hematopoietic stem cell	CL:4030046	lacks_plasma_membrane_part	negative	no	PR:000018263					
CL:0000037	hematopoietic stem cell	CL:4030046	lacks_plasma_membrane_part	negative	no	PR:000025796					
CL:0000037	hematopoietic stem cell	CL:4030046	lacks_plasma_membrane_part	negative	no	PR:000029032					
CL:0000037	hematopoietic stem cell	CL:4030046	lacks_plasma_membrane_part	negative	no	PR:000036194					
CL:0000037	hematopoietic stem cell	CL:4030046	lacks_plasma_membrane_part	negative	no	PR:000064867					
CL:0000040	monoblast	BFO:0000051	has part	positive	no	PR:000000001	protein				
CL:0000040	monoblast	RO:0002104	has plasma membrane part	positive	no	PR:000000001	protein				
CL:0000040	monoblast	BFO:0000051	has part	positive	no	PR:000001005					
CL:0000040	monoblast	RO:0002104	has plasma membrane part	positive	no	PR:000001005					
CL:0000040	monoblast	BFO:0000051	has part	positive	no	PR:000001012	integrin alpha-M	CD11B; CR3A	UniProtKB:P11215	UniProtKB:P05555	IUPHARobj:2452
CL:0000040	monoblast	RO:0002104	has plasma membrane part	positive	yes	PR:000001012	integrin alpha-M	CD11B; CR3A	UniProtKB:P11215	UniProtKB:P05555	IUPHARobj:2452
CL:0000040	monoblast	BFO:0000051	has part	positive	no	PR:000018263					
CL:0000040	monoblast	RO:0002104	has plasma membrane part	positive	no	PR:000018263					
CL:0000040	monoblast	BFO:0000051	has part	positive	no	PR:000025796					
CL:0000040	monoblast	RO:0002104	has plasma membrane part	positive	no	PR:000025796					
CL:0000040	monoblast	BFO:0000051	has part	positive	no	PR:000064867					
CL:0000040	monoblast	RO:0002104	has plasma membrane part	positive	no	PR:000064867					
CL:0000041	mature eosinophil	CL:4030046	lacks_plasma_membrane_part	negative	no	PR:000000001	protein				
CL:0000041	mature eosinophil	CL:4030046	lacks_plasma_membrane_part	negative	no	PR:000001002	CD19 molecule		UniProtKB:P15391	UniProtKB:P25918	IUPHARobj:2764; PIRSF:PIRSF016630
CL:0000041	mature eosinophil	CL:4030046	lacks_plasma_membrane_part	negative	no	PR:000001018					
CL:0000041	mature eosinophil	CL:4030046	lacks_plasma_membrane_part	negative	no	PR:000001020	CD3 epsilon	T3E	UniProtKB:P07766	UniProtKB:P22646	IUPHARobj:2742
CL:0000041	mature eosinophil	CL:4030046	lacks_plasma_membrane_part	negative	no	PR:000001022					
CL:0000041	mature eosinophil	CL:4030046	lacks_plasma_membrane_part	negative	no	PR:000001023					
CL:0000041	mature eosinophil	CL:4030046	lacks_plasma_membrane_part	negative	no	PR:000001024	neural cell adhesion molecule 1	NCAM	UniProtKB:P13591	UniProtKB:P13595	IUPHARobj:2769
CL:0000041	mature eosinophil	CL:4030046	lacks_plasma_membrane_part	negative	no	PR:000001084	T-cell surface glycoprotein CD8 alpha chain	MAL; Lyt-2; Lyt2	UniProtKB:P01732	UniProtKB:P01731	
CL:0000041	mature eosinophil	CL:4030046	lacks_plasma_membrane_part	negative	no	PR:000018263					
CL:0000041	mature eosinophil	CL:4030046	lacks_plasma_membrane_part	negative	no	PR:000064867					
CL:0000041	mature eosinophil	BFO:0000051	has part	positive	no	PR:000000001	protein				
CL:0000041	mature eosinophil	RO:0002104	has plasma membrane part	positive	no	PR:000000001	protein				
CL:0000041	mature eosinophil	RO:0002104	has plasma membrane part	positive	no	PR:000001005					
CL:0000041	mature eosinophil	BFO:0000051	has part	positive	no	PR:000001005					
CL:0000041	mature eosinophil	BFO:0000051	has part	positive	no	PR:000001012	integrin alpha-M	CD11B; CR3A	UniProtKB:P11215	UniProtKB:P05555	IUPHARobj:2452
CL:0000041	mature eosinophil	RO:0002104	has plasma membrane part	positive	no	PR:000001012	integrin alpha-M	CD11B; CR3A	UniProtKB:P11215	UniProtKB:P05555	IUPHARobj:2452
CL:0000041	mature eosinophil	RO:0002104	has plasma membrane part	positive	no	PR:000001094					
CL:0000041	mature eosinophil	BFO:0000051	has part	positive	no	PR:000001094					
CL:0000041	mature eosinophil	BFO:0000051	has part	positive	no	PR:000001128					
CL:0000041	mature eosinophil	RO:0002104	has plasma membrane part	positive	no	PR:000001128					
CL:0000041	mature eosinophil	RO:0002104	has plasma membrane part	positive	no	PR:000001197					
CL:0000041	mature eosinophil	BFO:0000051	has part	positive	no	PR:000001197					
CL:0000041	mature eosinophil	BFO:0000051	has part	positive	no	PR:000001254	C-C chemokine receptor type 1	CMKBR1; CMKR1; SCYAR1	UniProtKB:P32246	UniProtKB:P51675	IUPHARobj:58
CL:0000041	mature eosinophil	RO:0002104	has plasma membrane part	positive	no	PR:000001254	C-C chemokine receptor type 1	CMKBR1; CMKR1; SCYAR1	UniProtKB:P32246	UniProtKB:P51675	IUPHARobj:58
CL:0000041	mature eosinophil	BFO:0000051	has part	positive	no	PR:000001255	C-C chemokine receptor type 3	CMKBR3; Cmkbr1l2	UniProtKB:P51677	UniProtKB:P51678	IUPHARobj:60
CL:0000041	mature eosinophil	RO:0002104	has plasma membrane part	positive	no	PR:000001255	C-C chemokine receptor type 3	CMKBR3; Cmkbr1l2	UniProtKB:P51677	UniProtKB:P51678	IUPHARobj:60
CL:0000041	mature eosinophil	BFO:0000051	has part	positive	no	PR:000001307	CD44 molecule	LHR; PGP-I; MDU2; MDU3; MIC4	UniProtKB:P16070	UniProtKB:P15379	
CL:0000041	mature eosinophil	RO:0002104	has plasma membrane part	positive	no	PR:000001307	CD44 molecule	LHR; PGP-I; MDU2; MDU3; MIC4	UniProtKB:P16070	UniProtKB:P15379	
CL:0000041	mature eosinophil	BFO:0000051	has part	positive	no	PR:000001332	cell adhesion molecule CEACAM8	CGM6	UniProtKB:P31997		
CL:0000041	mature eosinophil	RO:0002104	has plasma membrane part	positive	no	PR:000001332	cell adhesion molecule CEACAM8	CGM6	UniProtKB:P31997		
CL:0000041	mature eosinophil	BFO:0000051	has part	positive	no	PR:000001343	CD69 molecule	CLEC2C	UniProtKB:Q07108	UniProtKB:P37217	
CL:0000041	mature eosinophil	RO:0002104	has plasma membrane part	positive	no	PR:000001343	CD69 molecule	CLEC2C	UniProtKB:Q07108	UniProtKB:P37217	
CL:0000041	mature eosinophil	RO:0002104	has plasma membrane part	positive	no	PR:000001403					
CL:0000041	mature eosinophil	BFO:0000051	has part	positive	no	PR:000001403					
CL:0000041	mature eosinophil	BFO:0000051	has part	positive	no	PR:000001969	urokinase plasminogen activator surface receptor	UPAR; MO3	UniProtKB:Q03405	UniProtKB:P35456	PIRSF:PIRSF002022
CL:0000041	mature eosinophil	RO:0002104	has plasma membrane part	positive	no	PR:000001969	urokinase plasminogen activator surface receptor	UPAR; MO3	UniProtKB:Q03405	UniProtKB:P35456	PIRSF:PIRSF002022
CL:0000041	mature eosinophil	BFO:0000051	has part	positive	no	PR:000005178	CD9 molecule	MIC3; TSPAN29; GIG2	UniProtKB:P21926	UniProtKB:P40240	
CL:0000041	mature eosinophil	RO:0002104	has plasma membrane part	positive	no	PR:000005178	CD9 molecule	MIC3; TSPAN29; GIG2	UniProtKB:P21926	UniProtKB:P40240	
CL:0000041	mature eosinophil	BFO:0000051	has part	positive	yes	PR:000007152	eosinophil peroxidase	EPP; EPER	UniProtKB:P11678	UniProtKB:P49290	
CL:0000041	mature eosinophil	BFO:0000051	has part	positive	yes	PR:000007857	erythroid transcription factor	GF1; ERYF1; GF-1	UniProtKB:P15976	UniProtKB:P17679	
CL:0000041	mature eosinophil	BFO:0000051	has part	positive	yes	PR:000007858	endothelial transcription factor GATA-2		UniProtKB:P23769	UniProtKB:O09100	
CL:0000041	mature eosinophil	BFO:0000051	has part	positive	no	PR:000009129	integrin alpha-4	CD49D	UniProtKB:P13612	UniProtKB:Q00651	IUPHARobj:2443
CL:0000041	mature eosinophil	RO:0002104	has plasma membrane part	positive	yes	PR:000009129	integrin alpha-4	CD49D	UniProtKB:P13612	UniProtKB:Q00651	IUPHARobj:2443
CL:0000041	mature eosinophil	BFO:0000051	has part	positive	no	PR:000013206					
CL:0000041	mature eosinophil	BFO:0000051	has part	positive	yes	PR:000014046	non-secretory ribonuclease	EDN; RNS2; Ear4	UniProtKB:P10153		
CL:0000041	mature eosinophil	BFO:0000051	has part	positive	yes	PR:000014047	eosinophil cationic protein	ECP; RNS3; ribonuclease 3	UniProtKB:P12724		
CL:0000041	mature eosinophil	BFO:0000051	has part	positive	no	PR:000018263					
CL:0000041	mature eosinophil	RO:0002104	has plasma membrane part	positive	no	PR:000018263					
CL:0000041	mature eosinophil	BFO:0000051	has part	positive	no	PR:000021081					
CL:0000041	mature eosinophil	BFO:0000051	has part	positive	no	PR:000022003					
CL:0000041	mature eosinophil	BFO:0000051	has part	positive	yes	PR:000022006	eosinophil granule major basic protein				
CL:0000041	mature eosinophil	BFO:0000051	has part	positive	no	PR:000025466					
CL:0000041	mature eosinophil	RO:0002104	has plasma membrane part	positive	no	PR:000025796					
CL:0000041	mature eosinophil	BFO:0000051	has part	positive	no	PR:000025796					
CL:0000041	mature eosinophil	RO:0002104	has plasma membrane part	positive	no	PR:000025797					
CL:0000041	mature eosinophil	BFO:0000051	has part	positive	no	PR:000025797					
CL:0000041	mature eosinophil	RO:0002104	has plasma membrane part	positive	no	PR:000030035					
CL:0000041	mature eosinophil	BFO:0000051	has part	positive	no	PR:000030035					
CL:0000041	mature eosinophil	RO:0002104	has plasma membrane part	positive	no	PR:000064867					
CL:0000041	mature eosinophil	BFO:0000051	has part	positive	no	PR:000064867					
CL:0000042	neutrophilic myeloblast	BFO:0000051	has part	positive	no	PR:000000001	protein				
CL:0000042	neutrophilic myeloblast	BFO:0000051	has part	positive	yes	PR:000001944	transcription factor PU.1	Sfpi-1; Sfpi1	UniProtKB:P17947	UniProtKB:P17433	
CL:0000042	neutrophilic myeloblast	BFO:0000051	has part	positive	yes	PR:000005307	CCAAT/enhancer-binding protein alpha	CEBP	UniProtKB:P49715	UniProtKB:P53566	
CL:0000042	neutrophilic myeloblast	BFO:0000051	has part	positive	yes	PR:000007857	erythroid transcription factor	GF1; ERYF1; GF-1	UniProtKB:P15976	UniProtKB:P17679	
CL:0000042	neutrophilic myeloblast	BFO:0000051	has part	positive	yes	PR:000010799	myb proto-oncogene protein		UniProtKB:P10242	UniProtKB:P06876	
CL:0000042	neutrophilic myeloblast	BFO:0000051	has part	positive	yes	PR:000014362	runt-related transcription factor 1	AML1; CBFA2; Pebp2ab	UniProtKB:Q01196	UniProtKB:Q03347	
CL:0000042	neutrophilic myeloblast	BFO:0000051	has part	positive	no	PR:000018263					
CL:0000042	neutrophilic myeloblast	BFO:0000051	has part	positive	no	PR:000064867					
CL:0000043	mature basophil	RO:0015015	has high plasma membrane amount	high	no	PR:000000001	protein				
CL:0000043	mature basophil	RO:0015015	has high plasma membrane amount	high	no	PR:000001094					
CL:0000043	mature basophil	RO:0015015	has high plasma membrane amount	high	no	PR:000001128					
CL:0000043	mature basophil	RO:0015015	has high plasma membrane amount	high	no	PR:000001197					
CL:0000043	mature basophil	RO:0015015	has high plasma membrane amount	high	no	PR:000001255	C-C chemokine receptor type 3	CMKBR3; Cmkbr1l2	UniProtKB:P51677	UniProtKB:P51678	IUPHARobj:60
CL:0000043	mature basophil	RO:0015015	has high plasma membrane amount	high	no	PR:000001355					
CL:0000043	mature basophil	RO:0015015	has high plasma membrane amount	high	no	PR:000001865	interleukin-3 receptor class 2 alpha chain	IL3R; Sut-1	UniProtKB:P26951	UniProtKB:P26952	IUPHARobj:1705
CL:0000043	mature basophil	RO:0015015	has high plasma membrane amount	high	no	PR:000007431	high affinity immunoglobulin epsilon receptor subunit alpha	FcERI; FCE1A	UniProtKB:P12319	UniProtKB:P20489	IUPHARobj:2933
CL:0000043	mature basophil	RO:0015015	has high plasma membrane amount	high	no	PR:000018263					
CL:0000043	mature basophil	RO:0015015	has high plasma membrane amount	high	no	PR:000030035					
CL:0000043	mature basophil	RO:0015015	has high plasma membrane amount	high	no	PR:000064867					
CL:0000043	mature basophil	CL:4030046	lacks_plasma_membrane_part	negative	no	PR:000000001	protein				
CL:0000043	mature basophil	CL:4030046	lacks_plasma_membrane_part	negative	no	PR:000001002	CD19 molecule		UniProtKB:P15391	UniProtKB:P25918	IUPHARobj:2764; PIRSF:PIRSF016630
CL:0000043	mature basophil	CL:4030046	lacks_plasma_membrane_part	negative	no	PR:000001018					
CL:0000043	mature basophil	CL:4030046	lacks_plasma_membrane_part	negative	no	PR:000001020	CD3 epsilon	T3E	UniProtKB:P07766	UniProtKB:P22646	IUPHARobj:2742
CL:0000043	mature basophil	CL:4030046	lacks_plasma_membrane_part	negative	no	PR:000001022					
CL:0000043	mature basophil	CL:4030046	lacks_plasma_membrane_part	negative	no	PR:000001023					
CL:0000043	mature basophil	CL:4030046	lacks_plasma_membrane_part	negative	no	PR:000001024	neural cell adhesion molecule 1	NCAM	UniProtKB:P13591	UniProtKB:P13595	IUPHARobj:2769
CL:0000043	mature basophil	CL:4030046	lacks_plasma_membrane_part	negative	no	PR:000001084	T-cell surface glycoprotein CD8 alpha chain	MAL; Lyt-2; Lyt2	UniProtKB:P01732	UniProtKB:P01731	
CL:0000043	mature basophil	CL:4030046	lacks_plasma_membrane_part	negative	no	PR:000018263					
CL:0000043	mature basophil	CL:4030046	lacks_plasma_membrane_part	negative	no	PR:000064867					
CL:0000043	mature basophil	BFO:0000051	has part	positive	no	PR:000000001	protein				
CL:0000043	mature basophil	RO:0002104	has plasma membrane part	positive	no	PR:000000001	protein				
CL:0000043	mature basophil	RO:0002104	has plasma membrane part	positive	no	PR:000001005					
CL:0000043	mature basophil	BFO:0000051	has part	positive	no	PR:000001005					
CL:0000043	mature basophil	BFO:0000051	has part	positive	no	PR:000001012	integrin alpha-M	CD11B; CR3A	UniProtKB:P11215	UniProtKB:P05555	IUPHARobj:2452
CL:0000043	mature basophil	RO:0002104	has plasma membrane part	positive	no	PR:000001012	integrin alpha-M	CD11B; CR3A	UniProtKB:P11215	UniProtKB:P05555	IUPHARobj:2452
CL:0000043	mature basophil	RO:0002104	has plasma membrane part	positive	no	PR:000001094					
CL:0000043	mature basophil	BFO:0000051	has part	positive	no	PR:000001094					
CL:0000043	mature basophil	RO:0002104	has plasma membrane part	positive	no	PR:000001128					
CL:0000043	mature basophil	BFO:0000051	has part	positive	no	PR:000001128					
CL:0000043	mature basophil	RO:0002104	has plasma membrane part	positive	no	PR:000001197					
CL:0000043	mature basophil	BFO:0000051	has part	positive	no	PR:000001197					
CL:0000043	mature basophil	BFO:0000051	has part	positive	no	PR:000001255	C-C chemokine receptor type 3	CMKBR3; Cmkbr1l2	UniProtKB:P51677	UniProtKB:P51678	IUPHARobj:60
CL:0000043	mature basophil	RO:0002104	has plasma membrane part	positive	no	PR:000001255	C-C chemokine receptor type 3	CMKBR3; Cmkbr1l2	UniProtKB:P51677	UniProtKB:P51678	IUPHARobj:60
CL:0000043	mature basophil	BFO:0000051	has part	positive	no	PR:000001332	cell adhesion molecule CEACAM8	CGM6	UniProtKB:P31997		
CL:0000043	mature basophil	RO:0002104	has plasma membrane part	positive	no	PR:000001332	cell adhesion molecule CEACAM8	CGM6	UniProtKB:P31997		
CL:0000043	mature basophil	BFO:0000051	has part	positive	no	PR:000001344	ectonucleotide pyrophosphatase/phosphodiesterase family member 3	PDNP3	UniProtKB:O14638	UniProtKB:Q6DYE8	
CL:0000043	mature basophil	RO:0002104	has plasma membrane part	positive	no	PR:000001344	ectonucleotide pyrophosphatase/phosphodiesterase family member 3	PDNP3	UniProtKB:O14638	UniProtKB:Q6DYE8	
CL:0000043	mature basophil	RO:0002104	has plasma membrane part	positive	no	PR:000001355					
CL:0000043	mature basophil	BFO:0000051	has part	positive	no	PR:000001355					
CL:0000043	mature basophil	BFO:0000051	has part	positive	no	PR:000001865	interleukin-3 receptor class 2 alpha chain	IL3R; Sut-1	UniProtKB:P26951	UniProtKB:P26952	IUPHARobj:1705
CL:0000043	mature basophil	RO:0002104	has plasma membrane part	positive	no	PR:000001865	interleukin-3 receptor class 2 alpha chain	IL3R; Sut-1	UniProtKB:P26951	UniProtKB:P26952	IUPHARobj:1705
CL:0000043	mature basophil	BFO:0000051	has part	positive	no	PR:000001950	tumor necrosis factor ligand superfamily member 5	CD40L; TNFSF5	UniProtKB:P29965	UniProtKB:P27548	PIRSF:PIRSF016527
CL:0000043	mature basophil	RO:0002104	has plasma membrane part	positive	no	PR:000001950	tumor necrosis factor ligand superfamily member 5	CD40L; TNFSF5	UniProtKB:P29965	UniProtKB:P27548	PIRSF:PIRSF016527
CL:0000043	mature basophil	BFO:0000051	has part	positive	no	PR:000001969	urokinase plasminogen activator surface receptor	UPAR; MO3	UniProtKB:Q03405	UniProtKB:P35456	PIRSF:PIRSF002022
CL:0000043	mature basophil	RO:0002104	has plasma membrane part	positive	no	PR:000001969	urokinase plasminogen activator surface receptor	UPAR; MO3	UniProtKB:Q03405	UniProtKB:P35456	PIRSF:PIRSF002022
CL:0000043	mature basophil	BFO:0000051	has part	positive	no	PR:000007431	high affinity immunoglobulin epsilon receptor subunit alpha	FcERI; FCE1A	UniProtKB:P12319	UniProtKB:P20489	IUPHARobj:2933
CL:0000043	mature basophil	RO:0002104	has plasma membrane part	positive	no	PR:000007431	high affinity immunoglobulin epsilon receptor subunit alpha	FcERI; FCE1A	UniProtKB:P12319	UniProtKB:P20489	IUPHARobj:2933
CL:0000043	mature basophil	BFO:0000051	has part	positive	no	PR:000018263					
CL:0000043	mature basophil	RO:0002104	has plasma membrane part	positive	no	PR:000018263					
CL:0000043	mature basophil	RO:0002104	has plasma membrane part	positive	no	PR:000025796					
CL:0000043	mature basophil	BFO:0000051	has part	positive	no	PR:000025796					
CL:0000043	mature basophil	RO:0002104	has plasma membrane part	positive	no	PR:000030035					
CL:0000043	mature basophil	BFO:0000051	has part	positive	no	PR:000030035					
CL:0000043	mature basophil	RO:0002104	has plasma membrane part	positive	no	PR:000064867					
CL:0000043	mature basophil	BFO:0000051	has part	positive	no	PR:000064867					
CL:0000064	ciliated cell	BFO:0000051	has part	positive	no	PR:000000001	protein				
CL:0000064	ciliated cell	BFO:0000051	has part	positive	no	PR:000018263					
CL:0000064	ciliated cell	BFO:0000051	has part	positive	no	PR:000064867					
CL:0000065	ependymal cell	BFO:0000051	has part	positive	no	PR:000000001	protein				
CL:0000065	ependymal cell	BFO:0000051	has part	positive	no	PR:000018263					
CL:0000065	ependymal cell	BFO:0000051	has part	positive	no	PR:000064867					
CL:0000067	ciliated epithelial cell	BFO:0000051	has part	positive	no	PR:000000001	protein				
CL:0000067	ciliated epithelial cell	BFO:0000051	has part	positive	no	PR:000018263					
CL:0000067	ciliated epithelial cell	BFO:0000051	has part	positive	no	PR:000064867					
CL:0000091	Kupffer cell	RO:0015016	has low plasma membrane amount	low	no	PR:000000001	protein				
CL:0000091	Kupffer cell	RO:0015016	has low plasma membrane amount	low	no	PR:000001005					
CL:0000091	Kupffer cell	RO:0015016	has low plasma membrane amount	low	yes	PR:000001012	integrin alpha-M	CD11B; CR3A	UniProtKB:P11215	UniProtKB:P05555	IUPHARobj:2452
CL:0000091	Kupffer cell	RO:0015016	has low plasma membrane amount	low	no	PR:000018263					
CL:0000091	Kupffer cell	RO:0015016	has low plasma membrane amount	low	no	PR:000025796					
CL:0000091	Kupffer cell	RO:0015016	has low plasma membrane amount	low	no	PR:000064867					
CL:0000091	Kupffer cell	RO:0002104	has plasma membrane part	positive	no	PR:000000001	protein				
CL:0000091	Kupffer cell	BFO:0000051	has part	positive	no	PR:000000001	protein				
CL:0000091	Kupffer cell	BFO:0000051	has part	positive	no	PR:000001005					
CL:0000091	Kupffer cell	RO:0002104	has plasma membrane part	positive	no	PR:000001005					
CL:0000091	Kupffer cell	RO:0002104	has plasma membrane part	positive	no	PR:000001012	integrin alpha-M	CD11B; CR3A	UniProtKB:P11215	UniProtKB:P05555	IUPHARobj:2452
CL:0000091	Kupffer cell	BFO:0000051	has part	positive	no	PR:000001012	integrin alpha-M	CD11B; CR3A	UniProtKB:P11215	UniProtKB:P05555	IUPHARobj:2452
CL:0000091	Kupffer cell	BFO:0000051	has part	positive	no	PR:000001087					
CL:0000091	Kupffer cell	RO:0002104	has plasma membrane part	positive	no	PR:000001087					
CL:0000091	Kupffer cell	RO:0002104	has plasma membrane part	positive	yes	PR:000001813	adhesion G protein-coupled receptor E1	EMR1; TM7LN3; Gpf480	UniProtKB:Q14246	UniProtKB:Q61549	IUPHARobj:182; PIRSF:PIRSF038685
CL:0000091	Kupffer cell	BFO:0000051	has part	positive	no	PR:000001813	adhesion G protein-coupled receptor E1	EMR1; TM7LN3; Gpf480	UniProtKB:Q14246	UniProtKB:Q61549	IUPHARobj:182; PIRSF:PIRSF038685
CL:0000091	Kupffer cell	BFO:0000051	has part	positive	no	PR:000001883					
CL:0000091	Kupffer cell	RO:0002104	has plasma membrane part	positive	no	PR:000001883					
CL:0000091	Kupffer cell	RO:0002104	has plasma membrane part	positive	yes	PR:000001925	scavenger receptor cysteine-rich type 1 protein M130	M130	UniProtKB:Q86VB7	UniProtKB:Q2VLH6	
CL:0000091	Kupffer cell	BFO:0000051	has part	positive	no	PR:000001925	scavenger receptor cysteine-rich type 1 protein M130	M130	UniProtKB:Q86VB7	UniProtKB:Q2VLH6	
CL:0000091	Kupffer cell	RO:0002104	has plasma membrane part	positive	yes	PR:000002064	macrosialin	gp110	UniProtKB:P34810	UniProtKB:P31996	
CL:0000091	Kupffer cell	BFO:0000051	has part	positive	no	PR:000002064	macrosialin	gp110	UniProtKB:P34810	UniProtKB:P31996	
CL:0000091	Kupffer cell	RO:0002104	has plasma membrane part	positive	no	PR:000018263					
CL:0000091	Kupffer cell	BFO:0000051	has part	positive	no	PR:000018263					
CL:0000091	Kupffer cell	BFO:0000051	has part	positive	no	PR:000025796					
CL:0000091	Kupffer cell	RO:0002104	has plasma membrane part	positive	no	PR:000025796					
CL:0000091	Kupffer cell	BFO:0000051	has part	positive	no	PR:000030035					
CL:0000091	Kupffer cell	RO:0002104	has plasma membrane part	positive	no	PR:000030035					
CL:0000091	Kupffer cell	BFO:0000051	has part	positive	no	PR:000064867					
CL:0000091	Kupffer cell	RO:0002104	has plasma membrane part	positive	no	PR:000064867					
CL:0000092	osteoclast	BFO:0000051	has part	positive	no	PR:000000001	protein				
CL:0000092	osteoclast	RO:0002104	has plasma membrane part	positive	no	PR:000000001	protein				
CL:0000092	osteoclast	BFO:0000051	has part	positive	no	PR:000001753					
CL:0000092	osteoclast	BFO:0000051	has part	positive	no	PR:000001810					
CL:0000092	osteoclast	RO:0002104	has plasma membrane part	positive	no	PR:000001810					
CL:0000092	osteoclast	BFO:0000051	has part	positive	yes	PR:000001850	cathepsin K	CTSO; CTSO2; cathepsin O; cathepsin X	UniProtKB:P43235	UniProtKB:P55097	IUPHARobj:2350
CL:0000092	osteoclast	BFO:0000051	has part	positive	yes	PR:000001937	tartrate-resistant acid phosphatase type 5	Trap; T5ap	UniProtKB:P13686	UniProtKB:Q05117	PIRSF:PIRSF000898
CL:0000092	osteoclast	BFO:0000051	has part	positive	yes	PR:000001944	transcription factor PU.1	Sfpi-1; Sfpi1	UniProtKB:P17947	UniProtKB:P17433	
CL:0000092	osteoclast	BFO:0000051	has part	positive	no	PR:000001954	tumor necrosis factor receptor superfamily member 11A	RANK	UniProtKB:Q9Y6Q6	UniProtKB:O35305	IUPHARobj:1881; PIRSF:PIRSF038806
CL:0000092	osteoclast	RO:0002104	has plasma membrane part	positive	yes	PR:000001954	tumor necrosis factor receptor superfamily member 11A	RANK	UniProtKB:Q9Y6Q6	UniProtKB:O35305	IUPHARobj:1881; PIRSF:PIRSF038806
CL:0000092	osteoclast	BFO:0000051	has part	positive	no	PR:000002062	macrophage colony-stimulating factor 1 receptor	FMS; Csfmr	UniProtKB:P07333	UniProtKB:P09581	IUPHARobj:1806; PIRSF:PIRSF500947
CL:0000092	osteoclast	RO:0002104	has plasma membrane part	positive	yes	PR:000002062	macrophage colony-stimulating factor 1 receptor	FMS; Csfmr	UniProtKB:P07333	UniProtKB:P09581	IUPHARobj:1806; PIRSF:PIRSF500947
CL:0000092	osteoclast	BFO:0000051	has part	positive	yes	PR:000007597	protein c-Fos	G0S7	UniProtKB:P01100	UniProtKB:P01101	
CL:0000092	osteoclast	BFO:0000051	has part	positive	yes	PR:000011178	nuclear factor NF-kappa-B p100 subunit	LYT10	UniProtKB:Q00653	UniProtKB:Q9WTK5	
CL:0000092	osteoclast	BFO:0000051	has part	positive	no	PR:000018263					
CL:0000092	osteoclast	RO:0002104	has plasma membrane part	positive	no	PR:000018263					
CL:0000092	osteoclast	BFO:0000051	has part	positive	no	PR:000036194					
